open("/dev/video0", O_RDWR|O_LARGEFILE) = 4
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b41c9c) = -1 EINVAL (Invalid argument)
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b41ce0) = 0
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b41d24) = -1 EINVAL (Invalid argument)
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b41d68) = -1 EINVAL (Invalid argument)
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b41dac) = -1 EINVAL (Invalid argument)
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b41df0) = -1 EINVAL (Invalid argument)
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b41e34) = -1 EINVAL (Invalid argument)
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b41e78) = -1 EINVAL (Invalid argument)
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b41ebc) = -1 EINVAL (Invalid argument)
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b41f00) = -1 EINVAL (Invalid argument)
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b41f44) = -1 EINVAL (Invalid argument)
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b41f88) = -1 EINVAL (Invalid argument)
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b41fcc) = -1 EINVAL (Invalid argument)
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b42010) = -1 EINVAL (Invalid argument)
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b42054) = -1 EINVAL (Invalid argument)
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b42098) = -1 EINVAL (Invalid argument)
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b420dc) = -1 EINVAL (Invalid argument)
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b42120) = -1 EINVAL (Invalid argument)
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b42164) = -1 EINVAL (Invalid argument)
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b421a8) = -1 EINVAL (Invalid argument)
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b421ec) = -1 EINVAL (Invalid argument)
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b42230) = -1 EINVAL (Invalid argument)
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b42274) = -1 EINVAL (Invalid argument)
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b422b8) = -1 EINVAL (Invalid argument)
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b422fc) = -1 EINVAL (Invalid argument)
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b42340) = -1 EINVAL (Invalid argument)
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b42384) = -1 EINVAL (Invalid argument)
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b423c8) = -1 EINVAL (Invalid argument)
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b4240c) = -1 EINVAL (Invalid argument)
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b42450) = -1 EINVAL (Invalid argument)
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b42494) = -1 EINVAL (Invalid argument)
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b424d8) = -1 EINVAL (Invalid argument)
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b4251c) = -1 EINVAL (Invalid argument)
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b42560) = -1 EINVAL (Invalid argument)
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b425a4) = -1 EINVAL (Invalid argument)
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b425e8) = -1 EINVAL (Invalid argument)
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b4262c) = -1 EINVAL (Invalid argument)
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b42670) = -1 EINVAL (Invalid argument)
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b426b4) = -1 EINVAL (Invalid argument)
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b426f8) = -1 EINVAL (Invalid argument)
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b4273c) = -1 EINVAL (Invalid argument)
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b42780) = -1 EINVAL (Invalid argument)
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b427c4) = -1 EINVAL (Invalid argument)
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b42808) = -1 EINVAL (Invalid argument)
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b4284c) = -1 EINVAL (Invalid argument)
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b42890) = -1 EINVAL (Invalid argument)
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b428d4) = -1 EINVAL (Invalid argument)
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b42918) = -1 EINVAL (Invalid argument)
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b4295c) = -1 EINVAL (Invalid argument)
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b429a0) = -1 EINVAL (Invalid argument)
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b429e4) = -1 EINVAL (Invalid argument)
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b42a28) = -1 EINVAL (Invalid argument)
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b42a6c) = -1 EINVAL (Invalid argument)
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b42ab0) = -1 EINVAL (Invalid argument)
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b42af4) = -1 EINVAL (Invalid argument)
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b42b38) = -1 EINVAL (Invalid argument)
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b42b7c) = -1 EINVAL (Invalid argument)
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b42bc0) = -1 EINVAL (Invalid argument)
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b42c04) = -1 EINVAL (Invalid argument)
ioctl(4, MATROXFB_TVOQUERYCTRL or VIDIOC_QUERYCTRL, 0x9b42c48) = -1 EINVAL (Invalid argument)
ioctl(4, VIDIOC_G_STD, 0xbfacce08)      = 0
ioctl(4, VIDIOC_G_INPUT, 0xbfacce1c)    = 0
ioctl(4, MATROXFB_G_TVOCTRL or VIDIOC_G_CTRL, 0xbfacce14) = 0
ioctl(4, MATROXFB_G_TVOCTRL or VIDIOC_G_CTRL, 0xbfacce14) = 0
ioctl(4, MATROXFB_G_TVOCTRL or VIDIOC_G_CTRL, 0xbfacce14) = 0
ioctl(4, MATROXFB_G_TVOCTRL or VIDIOC_G_CTRL, 0xbfacce14) = 0
ioctl(4, MATROXFB_G_TVOCTRL or VIDIOC_G_CTRL, 0xbfacce24) = 0
ioctl(4, VIDIOC_TRY_FMT, 0x9b42ca4)     = 0
ioctl(4, VIDIOC_S_FMT or VT_RELDISP, 0xbfacc754) = 0
ioctl(4, VIDIOC_TRY_FMT, 0x9b42ca4)     = 0
ioctl(4, VIDIOC_REQBUFS or VT_DISALLOCATE, 0x9b42d80) = 0
ioctl(4, VIDIOC_QUERYBUF or VT_RESIZE, 0x9b42d94) = 0
ioctl(4, VIDIOC_QUERYBUF or VT_RESIZE, 0x9b42dd8) = 0
ioctl(4, VIDIOC_QBUF, 0x9b42d94)        = 0
ioctl(4, VIDIOC_QBUF, 0x9b42dd8)        = 0
ioctl(4, VIDIOC_STREAMON, 0xbfacca2c)   = 0
ioctl(4, MATROXFB_S_TVOCTRL or VIDIOC_S_CTRL, 0xbfacce10) = 0
ioctl(4, MATROXFB_S_TVOCTRL or VIDIOC_S_CTRL, 0xbfacce10) = 0
ioctl(4, MATROXFB_S_TVOCTRL or VIDIOC_S_CTRL, 0xbfacce10) = 0
ioctl(4, MATROXFB_S_TVOCTRL or VIDIOC_S_CTRL, 0xbfacce10) = 0
ioctl(4, VIDIOC_S_INPUT, 0xbfacce84)    = 0
ioctl(4, VIDIOC_S_STD, 0x9b40f90)       = 0
select(5, [4], NULL, NULL, {5, 0})      = 1 (in [4], left {4, 985979})
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42d94)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42dd8)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42d94)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42dd8)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42d94)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42dd8)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42d94)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42dd8)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42d94)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42dd8)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42d94)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42dd8)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42d94)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42dd8)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42d94)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42dd8)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42d94)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42dd8)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42d94)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42dd8)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42d94)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42dd8)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42d94)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42dd8)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42d94)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42dd8)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42d94)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42dd8)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42d94)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42dd8)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42d94)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42dd8)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42d94)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42dd8)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42d94)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42dd8)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42d94)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42dd8)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42d94)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42dd8)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42d94)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42dd8)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42d94)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42dd8)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42d94)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42dd8)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42d94)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42dd8)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42d94)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42dd8)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42d94)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42dd8)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42d94)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42dd8)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42d94)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42dd8)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42d94)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42dd8)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42d94)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42dd8)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42d94)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42dd8)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42d94)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42dd8)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42d94)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42dd8)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42d94)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42dd8)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42d94)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42dd8)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42d94)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42dd8)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42d94)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42dd8)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42d94)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42dd8)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42d94)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42dd8)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42d94)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42dd8)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42d94)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42dd8)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42d94)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42dd8)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_QBUF, 0x9b42d94)        = 0
ioctl(4, VIDIOC_DQBUF, 0xbfaccd00)      = 0
ioctl(4, VIDIOC_STREAMOFF, 0xbfacc53c)  = 0
ioctl(4, VIDIOC_QUERYBUF or VT_RESIZE, 0xbfacc48c) = 0
ioctl(4, VIDIOC_QUERYBUF or VT_RESIZE, 0xbfacc48c) = 0
ioctl(4, VIDIOC_REQBUFS or VT_DISALLOCATE, 0x9b42d80) = -1 EINVAL (Invalid argument)
ioctl(4, VIDIOC_TRY_FMT, 0x9b42ca4)     = -1 EINVAL (Invalid argument)
ioctl(4, VIDIOC_TRY_FMT, 0xbfacc000)    = 0
ioctl(4, VIDIOC_TRY_FMT, 0xbfacc000)    = 0
ioctl(4, VIDIOC_TRY_FMT, 0xbfacc000)    = 0
ioctl(4, VIDIOC_TRY_FMT, 0xbfacc000)    = 0
ioctl(4, VIDIOC_TRY_FMT, 0xbfacc000)    = 0
ioctl(4, VIDIOC_TRY_FMT, 0xbfacc000)    = 0
ioctl(4, VIDIOC_REQBUFS or VT_DISALLOCATE, 0xbfacc70c) = 0
ioctl(4, VIDIOC_QUERYBUF or VT_RESIZE, 0xbfacc61c) = 0
ioctl(4, VIDIOC_QUERYBUF or VT_RESIZE, 0xbfacc61c) = 0
ioctl(4, VIDIOC_QBUF, 0xbfacc61c)       = 0
ioctl(4, VIDIOC_QBUF, 0xbfacc61c)       = 0
ioctl(4, VIDIOC_STREAMON, 0xbfacc65c)   = 0
ioctl(4, VIDIOC_DQBUF, 0xbfacc6c8)      = 0
ioctl(4, VIDIOC_QBUF, 0xbfacc61c)       = 0
